20.05.2022 9:00:48,"Поволжский государственный университет сервиса, факультет среднего профессионального образования","3. ""Логистика и строительство""",Очки виртуальной реальности для просмотра спектра недвижимости,1
20.05.2022 9:01:03,Южный федеральный университет,"1. ""Проекты в сфере онлайн-образования""",SfeduNet 5.0. з10. Кейс-пакет проектного наставника,1
20.05.2022 9:01:04,Пермский государственный аграрно-технологический университет им. Д.Н. Прянишникова,"3. ""Логистика и строительство""",Современные дороги и тротуары,1
20.05.2022 9:01:12,Омский государственный технический университет,"1. ""Проекты в сфере онлайн-образования""",Заочное образование,1
20.05.2022 9:01:16,Южный федеральный университет,"1. ""Проекты в сфере онлайн-образования""",SfeduNet 5.0 п1 Экосистема лидеров образования,1
20.05.2022 9:01:23,Национальный исследовательский Мордовский государственный университет им. Н.П. Огарёва,"1. ""Проекты в сфере онлайн-образования""",АгроТур13,1
20.05.2022 9:01:28,Воронежский государственный технический университет,"2. ""Медицина""",Электронная медицинская карта студента,1
20.05.2022 9:01:29,Тверской государственный университет,"1. ""Проекты в сфере онлайн-образования""","""ФинОк""-разработка цифровой платформы для обучения финансовой грамотности обучающихся начального образования с использованием игровых технологий(12.2).",1
20.05.2022 9:01:38,Крымский инженерно-педагогический университет,"1. ""Проекты в сфере онлайн-образования""",MagStep,1
20.05.2022 9:02:03,Южный федеральный университет,"3. ""Логистика и строительство""",SfeduNet 5.0 з1 Модульный офис СБЕР,1
20.05.2022 9:02:08,Приамурский государственный университет им. Шолом-Алейхема,"1. ""Проекты в сфере онлайн-образования""",Просто о Великом,1
20.05.2022 9:02:12,Омский государственный технический университет,"1. ""Проекты в сфере онлайн-образования""",Цифровой профиль преподавателя,1
20.05.2022 9:02:14,Поволжский государственный университет сервиса,"1. ""Проекты в сфере онлайн-образования""",Экваби,1
20.05.2022 9:02:19,Северо-Восточный федеральный университет им. М.К. Аммосова,"2. ""Медицина""",Мобильное приложение для online заказа очков с использованием технологии AR,1
20.05.2022 9:02:20,Вятский государственный агротехнологический университет,"1. ""Проекты в сфере онлайн-образования""",Эко-Арт Дворик,1
20.05.2022 9:02:30,Вятский государственный агротехнологический университет,"1. ""Проекты в сфере онлайн-образования""","Цифровой стенд для исследования свойств пластиков, используемых в 3D печати",1
20.05.2022 9:02:39,Московский государственный университет геодезии и картографии,"1. ""Проекты в сфере онлайн-образования""",Электронные-контурные карты,1
20.05.2022 9:02:39,Национальный исследовательский Мордовский государственный университет им. Н.П. Огарёва,"1. ""Проекты в сфере онлайн-образования""",АгроТур13,1
20.05.2022 9:02:41,Омский государственный университет им. Ф.М. Достоевского,"1. ""Проекты в сфере онлайн-образования""",Создание сайта,1
20.05.2022 9:02:45,Омский государственный технический университет,"1. ""Проекты в сфере онлайн-образования""",График дисциплины,1
20.05.2022 9:02:45,Московский государственный университет геодезии и картографии,"1. ""Проекты в сфере онлайн-образования""",Информаторы,1
20.05.2022 9:02:47,Тверской государственный университет,"1. ""Проекты в сфере онлайн-образования""",Сервис «Дочки&Сыночки» для педагогической поддержки родителей по воспитанию детей (12.1),1
20.05.2022 9:02:47,Южный федеральный университет,"1. ""Проекты в сфере онлайн-образования""",SfeduNet 5.0 П3 Сложности в возможности,1
20.05.2022 9:02:55,Ростовский государственный экономический университет,"1. ""Проекты в сфере онлайн-образования""",Школа кадрового резерва,1
20.05.2022 9:02:59,Южный федеральный университет,"1. ""Проекты в сфере онлайн-образования""",SfeduNet 5.0 п2 School quiz,1
20.05.2022 9:03:18,Поволжский государственный университет сервиса,"1. ""Проекты в сфере онлайн-образования""",Финансовый навигатор,1
20.05.2022 9:03:28,Поволжский государственный университет сервиса,"1. ""Проекты в сфере онлайн-образования""",Учебный тренажёр,1
20.05.2022 9:03:29,Костромская государственная сельскохозяйственная академия,"3. ""Логистика и строительство""",Концептуальный дизайн-проект библиотеки нового поколения,1
20.05.2022 9:03:34,Ростовский государственный экономический университет,"1. ""Проекты в сфере онлайн-образования""",Разработка макетов и видеоматериалов для портала «Путеводитель поступающего»,1
20.05.2022 9:03:36,Тамбовский государственный технический университет,"3. ""Логистика и строительство""",WOODГИПС,1
20.05.2022 9:03:41,Севастопольский государственный университет,"1. ""Проекты в сфере онлайн-образования""",Разработка образовательного контента по Севастополеведению,1
20.05.2022 9:03:44,Балтийский государственный технический университет ВОЕНМЕХ им. Д.Ф. Устинова,"1. ""Проекты в сфере онлайн-образования""",YourStart,1
20.05.2022 9:03:51,Южный федеральный университет,"1. ""Проекты в сфере онлайн-образования""","SfeduNet 5.0 З19 Онлайн-курс ""Введение в учебную аналитику""",1
20.05.2022 9:04:03,Севастопольский государственный университет,"1. ""Проекты в сфере онлайн-образования""",Разработка образовательного контента по Севастополеведению,1
20.05.2022 9:04:06,Псковский государственный университет,"1. ""Проекты в сфере онлайн-образования""",Цифровой Студент,1
20.05.2022 9:04:06,Волгоградский государственный технический университет,"3. ""Логистика и строительство""",Строительство быстровозводимых домов для социально уязвимых групп населения,1
20.05.2022 9:04:10,Ростовский государственный экономический университет,"3. ""Логистика и строительство""",Разработка приложения и проектирование карты поставщиков экологичных тканей и материалов,1
20.05.2022 9:04:16,Крымский инженерно-педагогический университет,"1. ""Проекты в сфере онлайн-образования""",DevUp,1
20.05.2022 9:04:17,Омский государственный технический университет,"1. ""Проекты в сфере онлайн-образования""",Бот для личного кабинета студента,1
20.05.2022 9:04:22,Майкопский государственный технологический университет,"2. ""Медицина""",Улыбка детям,1
20.05.2022 9:04:38,Московский государственный университет геодезии и картографии,"1. ""Проекты в сфере онлайн-образования""",Обучающая игра для начальной школы по информационной безопасности,1
20.05.2022 9:04:58,Санкт-Петербургский государственный университет аэрокосмического приборостроения,"2. ""Медицина""",Приложение для online заказа очков по рецепту с использованием технологии AR,1
20.05.2022 9:05:18,Тверской государственный университет,"1. ""Проекты в сфере онлайн-образования""",Разработка цифровой платформы для повышения цифровой грамотности пенсионеров с использованием образовательных технологий (15),1
20.05.2022 9:05:22,Южный федеральный университет,"1. ""Проекты в сфере онлайн-образования""",SfeduNet 5.0 У1 Конструктор образовательных программ для преподавателей вузов,1
20.05.2022 9:05:51,Поволжский государственный университет сервиса,"1. ""Проекты в сфере онлайн-образования""",IT-лагерь,1
20.05.2022 9:06:05,Сибирский государственный автомобильно-дорожный университет,"1. ""Проекты в сфере онлайн-образования""","Квест-экскурсия ""Профориентир""",1
20.05.2022 9:06:28,Балтийский государственный технический университет ВОЕНМЕХ им. Д.Ф. Устинова,"1. ""Проекты в сфере онлайн-образования""",Digital Future,1
20.05.2022 9:06:33,Тверской государственный университет,"1. ""Проекты в сфере онлайн-образования""",Curators & Community,1
20.05.2022 9:06:53,Саратовский национальный исследовательский государственный университет им. Н.Г. Чернышевского,"2. ""Медицина""",Улучшенная неинвазивная магнитная терапия: разработка биомагнитных дисков,1
20.05.2022 9:07:00,Тверской государственный университет,"3. ""Логистика и строительство""",Генератор инициативных обращений,1
20.05.2022 9:07:12,Алтайский государственный аграрный университет,"1. ""Проекты в сфере онлайн-образования""",ПРОФИ,1
20.05.2022 9:07:14,Тверской государственный университет,"1. ""Проекты в сфере онлайн-образования""",Разработка цифровой платформы для повышения цифровой грамотности пенсионеров с использованием образовательных технологий (15),1
20.05.2022 9:07:33,Национальный исследовательский Мордовский государственный университет им. Н.П. Огарёва,"3. ""Логистика и строительство""",Креативные пространства малых городов. В поисках национальной идентичности.,1
20.05.2022 9:07:42,Сибирский государственный автомобильно-дорожный университет,"1. ""Проекты в сфере онлайн-образования""",Безопасная дорога для учеников начальных классов,1
20.05.2022 9:07:43,Волгоградский государственный технический университет,"2. ""Медицина""",HealYou,1
20.05.2022 9:08:01,Омский государственный технический университет,"1. ""Проекты в сфере онлайн-образования""",Разработка веб-приложения по созданию учебного плана,1
20.05.2022 9:08:08,Ставропольский государственный аграрный университет,"1. ""Проекты в сфере онлайн-образования""",«АgroBonus»,1
20.05.2022 9:08:18,Самарский национальный исследовательский университет им. академика С.П. Королева,"3. ""Логистика и строительство""",Расчет стоимости доставки товара,1
20.05.2022 9:08:31,Национальный исследовательский Томский государственный университет,"1. ""Проекты в сфере онлайн-образования""",Кластер Raspberry PI,1
20.05.2022 9:09:57,Южный федеральный университет,"1. ""Проекты в сфере онлайн-образования""",SfeduNet 5.0 - и1 - Культурный интеллект: Исследование особенностей формирования межкультурной компетентности (толерантности) школьников,1
20.05.2022 9:10:20,Тверской государственный университет,"1. ""Проекты в сфере онлайн-образования""",Курсы графического дизайна,1
20.05.2022 9:10:24,Ставропольский государственный медицинский университет,"2. ""Медицина""",Разработка космецевтического фито-лосьона Allisan,1
20.05.2022 9:10:35,Омский государственный технический университет,"1. ""Проекты в сфере онлайн-образования""",Индивидуальная образовательная траектория студента,1
20.05.2022 9:10:45,Воронежский государственный технический университет,"3. ""Логистика и строительство""",Программа экономического обоснования социально ориентированных проектов,1
20.05.2022 9:10:46,Тверской государственный университет,"1. ""Проекты в сфере онлайн-образования""",“Цифровая платформа “Artstractor” интегрирующая анимационные технологии в обучение изобразительному искусству для всестороннего развития личности ”,1
20.05.2022 9:10:52,Приамурский государственный университет им. Шолом-Алейхема,"1. ""Проекты в сфере онлайн-образования""",Redbook Quiz,1
20.05.2022 9:11:13,Поволжский государственный университет сервиса,"1. ""Проекты в сфере онлайн-образования""",Приоритет-магистратура,1
20.05.2022 9:11:13,Моего вуза (образовательного учреждения) нет в списке,"3. ""Логистика и строительство""",Программа экономического обоснования социально ориентированных проектов,1
20.05.2022 9:11:15,Национальный исследовательский Томский государственный университет,"1. ""Проекты в сфере онлайн-образования""",Оживи учебник,1
20.05.2022 9:11:16,Ставропольский государственный медицинский университет,"2. ""Медицина""",Разработка космецевтического фито-лосьона Allisan,1
20.05.2022 9:11:46,Национальный исследовательский Томский государственный университет,"1. ""Проекты в сфере онлайн-образования""",Оживи учебник,1
20.05.2022 9:11:48,Омский государственный технический университет,"1. ""Проекты в сфере онлайн-образования""",Сервис проектных идей,1
20.05.2022 9:12:10,Волгоградский государственный технический университет,"2. ""Медицина""",Агрегатор медицинских данных пациентов учреждений здравоохранения,1
20.05.2022 9:12:17,Сибирский государственный автомобильно-дорожный университет,"1. ""Проекты в сфере онлайн-образования""",Мобильная игра,1
20.05.2022 9:12:29,Волгоградский государственный технический университет,"2. ""Медицина""",Агрегатор медицинских данных пациентов учреждений здравоохранения,1
20.05.2022 9:12:59,Волгоградский государственный технический университет,"1. ""Проекты в сфере онлайн-образования""",Конструктор образовательных программ для преподавателей ВУЗов,1
20.05.2022 9:13:02,Южный федеральный университет,"1. ""Проекты в сфере онлайн-образования""","SfeduNet 5.0 П6 ""GenEng Impact""",1
20.05.2022 9:14:55,Ростовский государственный экономический университет,"2. ""Медицина""","Разработка интеллектуальной системы мониторинга, анализа и прогнозирования показателей в сфере здравоохранения",1
20.05.2022 9:17:24,Воронежский государственный технический университет,"2. ""Медицина""",Stop COVID-19,1
20.05.2022 9:17:41,Моего вуза (образовательного учреждения) нет в списке,"1. ""Проекты в сфере онлайн-образования""",Разработка и апробация сервиса по привлечению абитуриентов на магистерскую программу «Управление проектами НТИ»,1
20.05.2022 9:18:06,Севастопольский государственный университет,"1. ""Проекты в сфере онлайн-образования""",Разработка педагогической платформы,1
20.05.2022 9:18:46,Южный федеральный университет,"1. ""Проекты в сфере онлайн-образования""",SfeduNet 5.0: з9 Обучающий курс по раздельному сбору вторсырья для жителей г. Ростова-на-Дону,1
20.05.2022 9:21:34,Казанский государственный энергетический университет,"1. ""Проекты в сфере онлайн-образования""",Онлайн-Робоквест,1
20.05.2022 9:21:36,Кабардино-Балкарский государственный университет им. Х. М. Бербекова,"1. ""Проекты в сфере онлайн-образования""",Студенческая медиа-лаборатория,1
20.05.2022 9:21:44,Кабардино-Балкарский государственный университет им. Х. М. Бербекова,"1. ""Проекты в сфере онлайн-образования""",Студенческий книжный бар CozyPlace,1
20.05.2022 9:22:04,Казанский государственный энергетический университет,"1. ""Проекты в сфере онлайн-образования""",Онлайн-Робоквест,1
20.05.2022 9:22:17,Орловский государственный университет им. И.С. Тургенева,"1. ""Проекты в сфере онлайн-образования""",Awareness people,1
20.05.2022 9:22:57,Южный федеральный университет,"1. ""Проекты в сфере онлайн-образования""",SfeduNet 5.0 П8 Приложение для отработки навыка рисования,1
20.05.2022 9:24:19,Крымский инженерно-педагогический университет,"2. ""Медицина""",Веб-приложение «Микрохирургия глаза»,1
20.05.2022 9:24:28,Омский государственный технический университет,"1. ""Проекты в сфере онлайн-образования""",Заочное образование,1
20.05.2022 9:27:06,Омский государственный технический университет,"1. ""Проекты в сфере онлайн-образования""",Нормоконтроль,1
20.05.2022 9:27:28,Майкопский государственный технологический университет,"2. ""Медицина""",Ликбез о здоровье с помощью сервиса Яндекс.Дзен,1
20.05.2022 9:27:34,Моего вуза (образовательного учреждения) нет в списке,"1. ""Проекты в сфере онлайн-образования""",Разработка и апробация сервиса по привлечению абитуриентов на магистерскую программу «Управление проектами НТИ»,1
20.05.2022 9:27:35,Севастопольский государственный университет,"1. ""Проекты в сфере онлайн-образования""",Севастополь в лицах,1
20.05.2022 9:28:02,Поволжский государственный университет сервиса,"1. ""Проекты в сфере онлайн-образования""",Приоритет-магистратура,1
20.05.2022 9:28:59,Костромская государственная сельскохозяйственная академия,"3. ""Логистика и строительство""",Концептуальный дизайн-проект библиотеки нового поколения,1
20.05.2022 9:29:36,Удмуртский государственный университет,"3. ""Логистика и строительство""",Настольная игра,1
20.05.2022 9:29:46,Костромская государственная сельскохозяйственная академия,"1. ""Проекты в сфере онлайн-образования""",Информационный ресурс для студентов Костромской ГСХА,1
20.05.2022 9:30:55,Моего вуза (образовательного учреждения) нет в списке,"1. ""Проекты в сфере онлайн-образования""",Разработка приложения и проектирование карты поставщиков экологичных тканей и материалов,1
20.05.2022 9:31:09,Воронежский государственный аграрный университет им. императора Петра Первого,"1. ""Проекты в сфере онлайн-образования""",Компенсация реактивной мощности,1
20.05.2022 9:32:13,Волгоградский государственный технический университет,"2. ""Медицина""",Портативный датчик ЭКГ,1
20.05.2022 9:32:57,Воронежский государственный аграрный университет им. императора Петра Первого,"1. ""Проекты в сфере онлайн-образования""",Разработка системы обучения и тестирования,1
20.05.2022 9:34:02,Псковский государственный университет,"1. ""Проекты в сфере онлайн-образования""",Цифровой Студент,1
20.05.2022 9:35:28,Московский финансово-промышленный университет «Синергия»,"1. ""Проекты в сфере онлайн-образования""",Эдит,1
20.05.2022 9:38:01,"Южный университет (Институт Управления, Бизнеса и Права)","1. ""Проекты в сфере онлайн-образования""",Разработка сервиса по повышению мотивации сотрудников компаний к обучению,1
20.05.2022 9:38:37,Майкопский государственный технологический университет,"2. ""Медицина""",Помощь в уходе за лежачими больными.,1
